,CallName,channel,startutt,stoputt,content
72,01-TUC-18040600,caller,308.765,319.155,"Honestly no, he's got, there's blood like pretty much all over his body, I can't see like any like you know wounds that are showing and blood coming out of them directly."
73,01-TUC-18040600,operator,319.26,322.95,Okay but she can't she doesn't have anything in her hand. Is she still praying over him?
74,01-TUC-18040600,caller,324.115,324.405,Yes.
75,01-TUC-18040600,caller,326.96,329.1,But no I don't see anything else in her hand either.
76,01-TUC-18040600,operator,329.22,329.53,Okay.
77,01-TUC-18040600,operator,329.995,332.015,"Let me know when you see the officers, okay?"
78,01-TUC-18040600,caller,333.475,337.035,"Alright, I think there's actually an officer coming up behind us."
79,01-TUC-18040600,caller,339.965,341.835,But uh I'm not 100% sure.
80,01-TUC-18040600,operator,342.4,342.85,Okay.
81,01-TUC-18040600,caller,350.085,353.34,Okay yes ma'am I have an officer here.
82,01-TUC-18040600,operator,354.25,356.03,"Okay, are they at the right place?"
83,01-TUC-18040600,caller,357.08,357.54,Yes ma'am.
84,01-TUC-18040600,operator,357.795,360.025,"Okay, alright just go ahead and talk to them."
85,01-TUC-18040600,caller,361.14,361.91,Alright thank you.
86,01-TUC-18040600,operator,361.955,362.845,You're welcome bye.
4147,287-PHX-2018-00886871-01Track1,operator,2.47,4.53,"Phoenix 911, where is your emergency?"
4148,287-PHX-2018-00886871-01Track1,caller,5.43,30.245,"Yes, how are you doing? Yes, I stay at Serena Villa, over here on 43rd and Dunlap. The address is [rdt]. Um, I just went outside of my apartment complex and uh, and I seen this man, he's bleeding a lot. He told me that he's been shot. Now his face is swollen, is swollen, and he's got blood everywhere. He's got blood all on him. He said he's been hit in the chest."
4149,287-PHX-2018-00886871-01Track1,operator,33.12,35.41,You keep cutting out a little bit. What apartment number is he in front of?
4150,287-PHX-2018-00886871-01Track1,caller,36.95,40.21,"No. We, we stay at Serena, um, Serena Village."
4151,287-PHX-2018-00886871-01Track1,operator,40.48,43.91,"Okay, but what unit is he in front of? Where in the complex are we gonna find him?"
4152,287-PHX-2018-00886871-01Track1,caller,44.92,48.38,"Uh, like [rdt]. We're 361."
4153,287-PHX-2018-00886871-01Track1,operator,49.17,50.65,He's near [rdt]? What?
4154,287-PHX-2018-00886871-01Track1,caller,51.65,53.21,[rdt].
4155,287-PHX-2018-00886871-01Track1,operator,53.6,56.94,"Okay. Now, is the guy, are you still out with him? Or you're back inside?"
4156,287-PHX-2018-00886871-01Track1,caller,54.12,54.77,[xxx].
4157,287-PHX-2018-00886871-01Track1,caller,57.83,59.69,I'm back in town. We're moving complex.
4158,287-PHX-2018-00886871-01Track1,operator,59.9,62.82,"Now, what'd the guy look like? Was he White, Black, Hispanic, Indian?"
4159,287-PHX-2018-00886871-01Track1,caller,63.205,63.535,Yeah.
4160,287-PHX-2018-00886871-01Track1,caller,65.815,66.155,Huh?
4161,287-PHX-2018-00886871-01Track1,operator,66.65,69.88,"Hello? Sir, what did the guy look like? White, Black, Hispanic, Indian?"
4162,287-PHX-2018-00886871-01Track1,caller,71.18,80.635,"Yeah. He, uh, I'm thinking. I guess he's Black, I don't know. It looks like somebody else woke up. He keeps repeating there's some people trying to kill him."
4163,287-PHX-2018-00886871-01Track1,operator,76.705,77.345,I'm confused...
4164,287-PHX-2018-00886871-01Track1,operator,81.48,83.48,"Alright, he said that there's people trying to kill him?"
4165,287-PHX-2018-00886871-01Track1,caller,84.22,89.77,"Yes, that's what he was just yelling about to me. Yeah, I just seen the dude walk up, he just walked off. I don't know what's going on."
4166,287-PHX-2018-00886871-01Track1,operator,91.78,93.56,"Okay. So, where'd he walk off to?"
4167,287-PHX-2018-00886871-01Track1,caller,94.63,97.57,"No, the dude that walked up. The one that's still hurt, is still downstairs."
4168,287-PHX-2018-00886871-01Track1,operator,98.06,98.58,Okay.
4169,287-PHX-2018-00886871-01Track1,operator,99.04,102.88,"And so, you said the guy who's hurt is near apartment [rdt], right?"
4170,287-PHX-2018-00886871-01Track1,caller,103.63,103.99,Yes.
4171,287-PHX-2018-00886871-01Track1,operator,104.36,106.78,"Or, I'm sorry. [rdt] is where he's near?"
4172,287-PHX-2018-00886871-01Track1,caller,107.81,112.55,"Yes, because ours, ours is [rdt] and he's still on the third floor there on the bottom."
4173,287-PHX-2018-00886871-01Track1,operator,118.03,121.44,"Now, the guy who you saw with him, there for a minute, you think that's the one who hurt him?"
4174,287-PHX-2018-00886871-01Track1,caller,122.38,136.09,"I do not know. I just went outside, going to my car, and I seen a lady holding onto the man that's bloody downstairs and then he, he's telling me to help him. She's telling me... I'm like, is he okay? She told me, yeah, everything's cool. I don't know what's going on."
4175,287-PHX-2018-00886871-01Track1,operator,138.46,141.98,"So, she was saying, everything is fine, you don't need to worry, and he was the one saying to help?"
4176,287-PHX-2018-00886871-01Track1,caller,142.875,143.215,Yes.
4177,287-PHX-2018-00886871-01Track1,operator,150.32,153.69,"Now, um, the female that was with him, was she White, Black, Hispanic, Indian?"
4178,287-PHX-2018-00886871-01Track1,caller,154.6,155.21,She's Black.
4179,287-PHX-2018-00886871-01Track1,operator,155.81,157.15,And how old did she look?
4180,287-PHX-2018-00886871-01Track1,caller,156.12,156.63,I'd guess.
4181,287-PHX-2018-00886871-01Track1,caller,158.23,164.375,"Um, like maybe, older twenties? Uh, younger thirties?"
4182,287-PHX-2018-00886871-01Track1,operator,163.53,164.26,Okay.
4183,287-PHX-2018-00886871-01Track1,operator,165.02,167.15,"Now, do you remember what she had on, by chance?"
4184,287-PHX-2018-00886871-01Track1,caller,168.06,174.69,"No. It was just, everything was a brief moment. I looked at the brief moment, like oh, and I still, still continued on my, on my way."
4185,287-PHX-2018-00886871-01Track1,operator,175.03,178.4,"Alright, and then the Black male was also in his late twenties, you think?"
4186,287-PHX-2018-00886871-01Track1,caller,175.72,176.57,You know? It was like...
4187,287-PHX-2018-00886871-01Track1,caller,179.42,182.79,"Yeah. Yeah, like, like early uh, thirties."
4188,287-PHX-2018-00886871-01Track1,operator,184.58,189.32,"Alright, and so where did it say that it, uh, that you would of, it looked like the blood was coming from?"
4189,287-PHX-2018-00886871-01Track1,caller,190.65,198.19,"It was, he got blood coming from his face, his face is bleeding and swollen. Like, something isn't right. His face, his face is real swollen."
4190,287-PHX-2018-00886871-01Track1,operator,194.69,195.65,His face is what?
4191,287-PHX-2018-00886871-01Track1,caller,200.32,205.21,"No, he got blood coming, he got blood on his chest coming from his face, on his side... Everywhere."
4192,287-PHX-2018-00886871-01Track1,operator,206.2,206.725,Okay.
4193,287-PHX-2018-00886871-01Track1,operator,208.25,215.19,"And then you don't see him down there anymore? Can you look out your window and tell if there's, can you see him from your window? Or no, you'd have to go all the way downstairs?"
4194,287-PHX-2018-00886871-01Track1,caller,210.665,211.405,"No, I'm inside."
4195,287-PHX-2018-00886871-01Track1,caller,212.87,213.68,"No, I'm inside."
4196,287-PHX-2018-00886871-01Track1,caller,215.84,219.75,"I'd have to go outside, go somewhere downstairs, and look over the fence just..."
4197,287-PHX-2018-00886871-01Track1,operator,221.05,223.69,Do you happen to know where they live? Or you've never seen them before?
4198,287-PHX-2018-00886871-01Track1,caller,224.72,228.85,"No. I've never seen him before, but I've seen her before. That's my first time seeing him."
4199,287-PHX-2018-00886871-01Track1,operator,232.68,234.13,And you don't know where she lives at all?
4200,287-PHX-2018-00886871-01Track1,caller,233.01,233.72,No. I didn't...
4201,287-PHX-2018-00886871-01Track1,caller,235.34,239.24,"No. She's stayed here before, but I just don't know her apartment number."
4202,287-PHX-2018-00886871-01Track1,operator,246.51,252.64,"Alright, and then, well, we'll come out. Yeah, we'll come out, and take a look, and see what's going on. Um, what was your name?"
4203,287-PHX-2018-00886871-01Track1,caller,246.65,248.69,"And I don't know, I don't know what..."
4204,287-PHX-2018-00886871-01Track1,caller,253.99,255.73,"How, how many is [rdt]?"
4205,287-PHX-2018-00886871-01Track1,operator,256.18,257.985,Alright. What's a phone number for you?
4206,287-PHX-2018-00886871-01Track1,caller,262.3,262.9,You said what?
4207,287-PHX-2018-00886871-01Track1,operator,263.22,264.145,What's your phone number?
4208,287-PHX-2018-00886871-01Track1,caller,265.96,270.8,"My phone number is, uh, [rdt]."
4209,287-PHX-2018-00886871-01Track1,operator,272.18,280.31,"Alright. Well, I'll let you go since you can't see him anymore. If anything should change, or you should hear anything or get anything further, go ahead and give us a call back, though, with the updated information. Okay?"
4210,287-PHX-2018-00886871-01Track1,caller,281.18,281.58,Okay.
4211,287-PHX-2018-00886871-01Track1,operator,282.05,282.81,"Alright, thanks. Bye."
